Index, Buffer Level, Bitrate, Playback Timestamp, Frame Rate, Resolution
0,0,760,0,30,"480x270"
1,0,760,0,30,"480x270"
2,0,760,0,30,"480x270"
3,0,760,0,30,"480x270"
4,4,1013,0,30,"640x360"
5,3.999,1013,0.211562,30,"640x360"
6,7.788,254,0.211562,30,"320x180"
7,7.747,254,0.333416,30,"320x180"
8,11.667,254,0.333416,30,"320x180"
9,11.667,9915,0.373583,30,"1920x1080"
10,11.626,9915,0.373583,30,"1920x1080"
11,11.626,9915,0.41375,30,"1920x1080"
12,0,9915,622.769,30,"1920x1080"
13,0,9915,622.769,30,"1920x1080"
14,0,9915,622.769,30,"1920x1080"
15,0,9915,622.769,30,"1920x1080"
16,0,9915,622.769,30,"1920x1080"
17,1.231,1013,622.769,30,"640x360"
18,1.231,1013,622.927895,30,"640x360"
19,5.072,760,622.968395,30,"480x270"
20,4.991,760,623.130958,30,"480x270"
21,8.869,1013,623.130958,30,"640x360"
22,8.498,1013,623.541791,30,"640x360"
23,8.418,1013,623.783812,30,"640x360"
24,8.133,1013,624.028375,30,"640x360"
25,10.418,1013,624.18927,30,"640x360"
