Buffer Level, Bitrate, Playback Timestamp, Frame Rate, Resolution
0,0,760,0,30,"480x270"
0,0,760,0,30,"480x270"
0,0,760,0,30,"480x270"
0,0,760,0,30,"480x270"
0,4,14932,0,30,"3840x2160"
0,3.716,14932,0.324375,30,"3840x2160"
0,2.032,14932,2.1335,30,"3840x2160"
0,5.867,507,2.176291,30,"320x180"
0,5.743,507,2.257333,30,"320x180"
0,9.743,507,2.340354,30,"320x180"
0,13.66,14932,2.380583,30,"3840x2160"
0,13.619,14932,2.380583,30,"3840x2160"
0,13.619,14932,2.461083,30,"3840x2160"
0,13.458,14932,2.541604,30,"3840x2160"
0,12.311,14932,3.935354,30,"3840x2160"
0,12.024,507,3.975541,30,"320x180"
0,12.024,507,4.055937,30,"320x180"
0,11.944,3134,4.055937,30,"1024x576"
0,11.454,3134,4.585979,30,"1024x576"
0,15.414,4953,4.585979,30,"1280x720"
0,14.889,4953,5.111104,30,"1280x720"
0,14.889,4953,5.191979,30,"1280x720"
0,18.808,9915,5.233416,30,"1920x1080"
0,18.606,9915,5.638354,30,"1920x1080"
0,15.786,9915,8.214375,30,"1920x1080"
0,19.786,760,8.254625,30,"480x270"
0,19.745,760,8.457583,30,"480x270"
0,19.542,254,8.457583,30,"320x180"
0,19.502,254,8.57802,30,"320x180"
0,19.422,507,8.618166,30,"320x180"
0,19.382,507,8.69875,30,"320x180"
0,19.382,507,8.69875,30,"320x180"
0,19.301,3134,8.743375,30,"1024x576"
0,18.932,3134,9.233645,30,"1024x576"
0,18.726,507,9.273979,30,"320x180"
0,18.646,507,9.394666,30,"320x180"
0,18.605,4953,9.43525,30,"1280x720"
0,17.793,4953,10.287812,30,"1280x720"
0,17.712,254,10.327979,30,"320x180"
0,17.672,254,10.368854,30,"320x180"
0,17.631,760,10.40927,30,"480x270"
0,17.51,760,10.573645,30,"480x270"
0,17.426,9915,10.573645,30,"1920x1080"
0,16.364,9915,11.756395,30,"1920x1080"
0,16.244,760,11.796604,30,"480x270"
0,16.082,760,11.917583,30,"480x270"
0,16.082,254,11.95775,30,"320x180"
0,16.042,254,11.998062,30,"320x180"
0,16.002,1884,12.038312,30,"768x432"
0,15.8,1884,12.240437,30,"768x432"
0,19.76,3134,12.280604,30,"1024x576"
0,19.432,3134,12.607791,30,"1024x576"
0,23.23,3134,12.769916,30,"1024x576"
0,23.23,3134,12.810104,30,"1024x576"
0,19.526,254,16.716437,30,"320x180"
0,19.243,254,16.918125,30,"320x180"
0,22.678,254,17.322125,30,"320x180"
0,19.551,1255,20.449,30,"640x360"
0,19.268,1255,20.852645,30,"640x360"
0,19.147,4953,20.852645,30,"1280x720"
0,0,4953,626.427,30,"1280x720"
0,0,4953,626.427,30,"1280x720"
0,0,4953,626.427,30,"1280x720"
0,0,4953,626.427,30,"1280x720"
0,0,4953,626.427,30,"1280x720"
0,1.573,14932,626.427,30,"3840x2160"
0,0.2,14932,627.880854,30,"3840x2160"
0,4.079,1884,627.96125,30,"768x432"
0,3.918,1884,628.166895,30,"768x432"
0,6.198,1884,628.368604,30,"768x432"
